-6041	12737	-14415	-32309	23757	28589	21956	-32294	5196636	0	0	0	0	0
-5533	-9699	-13873	-32321	521	-4828	-3520	-32333	5207840	0	0	0	0	0
-3064	-15590	-11567	-32329	-9414	-14125	-11853	-32297	5207851	0	0	0	0	0
-2165	7141	-9487	-32293	25142	22498	25473	-32346	5207856	0	0	0	0	0
2936	21192	-3051	-32318	32484	32466	32538	-32300	5210309	0	0	0	0	0
-803	2013	-6713	-32305	32477	21131	32439	-32314	5210318	0	0	0	0	0
-3531	-12230	-8905	-32302	23075	-574	20295	-32321	5212828	0	0	0	0	0
-4399	3865	-9198	-32313	32557	25981	32601	-32327	5212836	0	0	0	0	0
-3139	23214	-6253	-32377	32454	32475	32514	-32310	5224058	0	0	0	0	0
-6636	10495	-9667	-32325	32527	32429	32517	-32325	5224067	0	0	0	0	0
-8604	-9771	-11187	-32373	32649	11288	32729	-32321	5232810	0	0	0	0	0
-8352	-502	-10281	-32308	32455	26062	32439	-32318	5232823	0	0	0	0	0
-1505	22546	-2014	-32324	32519	32406	32402	-22478	5238750	0	0	0	0	0
5169	19127	5601	-32314	32535	32565	32475	-14871	5238778	0	0	0	0	0
-5127	-4229	-5290	-32317	32666	25847	32489	-25039	5244054	0	0	0	0	0
-6789	-4201	-6233	-32287	32503	25475	32554	-23846	5244071	0	0	0	0	0
-3033	18415	-1225	-9377	32478	32470	32441	-15995	5251548	0	0	0	0	0
3712	24351	6467	27872	32767	32687	32546	-7743	5251568	0	0	0	0	0
-2303	1219	177	17198	32603	32428	32594	-14041	5290342	0	0	0	0	0
-5757	-7403	-3177	9687	32767	23613	32554	-15283	5290358	0	0	0	0	0
1467	12795	5065	32426	32504	32456	32662	-5533	5292921	0	0	0	0	0
679	26985	5351	32767	32642	32718	32577	-3075	5292932	0	0	0	0	0
343	8836	4936	32454	32528	32440	32622	-4303	5292937	0	0	0	0	0
1303	-7741	5824	32476	32450	24543	32418	-1970	5292941	0	0	0	0	0
7799	7283	12992	32458	32483	32629	32433	6187	5297794	0	0	0	0	0
12889	27042	19153	32501	32646	32471	32615	14313	5297803	0	0	0	0	0
12234	15943	19026	32492	32703	32718	32767	14191	5304046	0	0	0	0	0
10523	-6657	16231	32767	32525	27011	32543	11079	5304058	0	0	0	0	0
7114	-207	13256	32534	32767	32457	32767	10244	5306539	0	0	0	0	0
11971	22366	19685	32597	32515	32523	32493	18239	5306547	0	0	0	0	0
12150	20047	20680	32767	32463	32647	32477	20055	5309042	0	0	0	0	0
3146	-3882	10327	32421	32476	32767	32755	8436	5309051	0	0	0	0	0
-6332	-7453	666	32445	32618	25109	32479	-661	5319043	0	0	0	0	0
-1135	13685	7821	32594	32505	32417	32596	11162	5319054	0	0	0	0	0
3987	21548	12837	32450	32767	32756	32520	14104	5329068	0	0	0	0	0
-255	-1821	7483	32767	32505	32674	32763	8606	5329083	0	0	0	0	0
-3469	-13952	4298	32618	32520	11421	32632	5687	5331686	0	0	0	0	0
779	4129	9412	32615	32559	32450	32652	13061	5331706	0	0	0	0	0
6907	19347	14811	32503	32469	32460	32671	17104	5342829	0	0	0	0	0
-394	2309	7694	32521	32767	32763	32579	11176	5342841	0	0	0	0	0
-5704	-16064	1093	32494	32454	4859	32405	3343	5350310	0	0	0	0	0
-2941	-3198	4286	32477	32487	21329	32631	8133	5350324	0	0	0	0	0
2269	17382	10432	32612	32767	32767	32533	15889	5355311	0	0	0	0	0
5173	8457	13127	32767	32668	32697	32403	17958	5355323	0	0	0	0	0
2299	-15064	8177	32658	32565	2432	32518	9851	5390468	0	0	0	0	0
-2172	-10529	4178	32604	32500	6425	32501	8551	5390487	0	0	0	0	0
2345	12147	8467	32620	32632	32482	32455	12053	5396558	0	0	0	0	0
4009	12233	11009	32463	32505	32719	32767	15915	5396571	0	0	0	0	0
-2184	-13022	3225	32668	32500	1307	32521	6289	5402800	0	0	0	0	0
-5948	-18982	-921	32532	29755	-10089	22890	2668	5402813	0	0	0	0	0
3666	3065	9273	32500	32583	21315	32659	15183	5410311	0	0	0	0	0
8331	13605	13745	32536	32757	32673	32469	18253	5410325	0	0	0	0	0
4900	-6247	9543	32603	32621	7336	32767	12429	5412822	0	0	0	0	0
1008	-19137	4885	32653	16412	-14131	12572	7230	5412836	0	0	0	0	0
3295	-1677	7596	32767	32488	11410	32041	11459	5421557	0	0	0	0	0
9377	16119	14127	32681	32556	32646	32441	17422	5421570	0	0	0	0	0
4262	1579	8397	32679	32767	17519	32620	9605	5424056	0	0	0	0	0
-5561	-18113	-1733	32588	13115	-13685	8777	-25	5424070	0	0	0	0	0
-6841	-8133	-3055	32677	20182	1540	17659	-139	5426512	0	0	0	0	0
2788	14370	6848	32717	32637	32570	32712	9597	5426526	5430024	0	0	0	0
-1929	8223	1893	32681	32664	28701	32441	2543	5429131	0	0	0	0	0
-9295	-14697	-6005	32491	18666	-7635	12556	-4994	5429139	0	0	0	0	0
-5835	-12863	-3401	32593	12446	-6925	8811	-3585	5434030	0	0	0	0	0
-3991	10352	-54	32573	32706	30083	32513	3026	5434055	0	0	0	0	0
702	14992	4702	32453	32601	32431	32449	5911	5444117	0	0	0	0	0
-3785	-7276	-1190	32659	32441	4414	24471	-2224	5444128	0	0	0	0	0
-5613	-13909	-2453	32544	15138	-6471	10469	-2498	5454074	0	0	0	0	0
-3473	7434	123	32527	32569	27353	32471	1825	5454083	5459431	0	0	0	0
3990	20552	8393	32518	32767	32547	32587	10077	5462992	0	0	0	0	0
3671	1943	7622	32708	32589	19965	32767	8127	5463020	0	0	0	0	0
-1015	-12674	1765	32488	25019	-2601	21565	299	5463024	0	0	0	0	0
839	3269	5079	32767	32483	21347	32736	7325	5463029	5465754	0	0	0	0
8292	22024	12706	32767	32503	32720	32467	14766	5499116	0	0	0	0	0
2266	9793	6969	32767	32767	32469	32329	9457	5499133	0	0	0	0	0
2220	-11547	5946	32447	32528	1186	32562	6566	5501590	0	0	0	0	0
-265	-2691	2980	32551	32754	14161	32438	4707	5501601	0	0	0	0	0
6343	20632	11410	32411	32600	32547	32339	15980	5504063	0	0	0	0	0
8593	16391	14067	32425	32645	32566	32534	18259	5504073	0	0	0	0	0
7290	-7032	11377	32658	32439	8907	32648	14584	5506560	0	0	0	0	0
6101	-7506	10391	32519	32477	7217	32459	14869	5506570	0	0	0	0	0
11741	15867	16800	32646	32468	32577	32508	22392	5509053	0	0	0	0	0
13665	21962	19300	32501	32465	32359	32479	24981	5509071	0	0	0	0	0
9681	-798	14627	32554	32527	19982	32513	20573	5511578	0	0	0	0	0
9777	-10161	14417	32468	32634	3823	32416	19719	5511592	0	0	0	0	0
2050	10333	7690	32599	32605	32487	32517	14257	5520277	0	0	0	0	0
4601	24039	11735	32767	32407	32576	32558	21165	5520286	0	0	0	0	0
847	5577	7251	32432	32655	32497	32504	15267	5555292	0	0	0	0	0
-3175	-11667	2839	32408	32767	4477	32767	11313	5555305	0	0	0	0	0
1899	2866	8429	32439	32577	24581	32537	18896	5557900	0	0	0	0	0
5987	23200	13001	32739	32403	32471	32602	24116	5557907	0	0	0	0	0
2067	12230	9639	32439	32664	32640	32767	21253	5557911	0	0	0	0	0
-1292	-10669	5070	32767	32552	6344	32433	15527	5557915	5559915	0	0	0	0
4183	-4093	11079	32487	32585	13657	32633	23872	5564031	0	0	0	0	0
12630	19867	20387	32663	32688	32475	32425	32451	5564047	0	0	0	0	0
13726	19248	21593	32548	32513	32551	32467	32471	5566603	0	0	0	0	0
9125	-3755	15646	32546	32571	15812	32640	28300	5566624	5568839	0	0	0	0
6850	-6088	13293	32478	32456	10198	32572	26951	5575322	0	0	0	0	0
11547	15359	19067	32406	32593	32392	32601	32473	5575339	0	0	0	0	0
14196	22970	22267	32521	32767	32547	32696	32725	5577787	0	0	0	0	0
6475	1233	13841	32629	32637	21499	32484	26655	5577798	0	0	0	0	0
-3507	-10815	3750	32407	32674	2205	32451	17887	5582781	0	0	0	0	0
-4617	6549	3747	32767	32695	27699	32599	21857	5582798	5594154	0	0	0	0
