150	16781	1831	32705	32516	32464	32614	1558	5959882	0	0	0	0	0
-7290	-28067	-7465	-7518	-32310	-32313	-32311	-9261	5959925	0	0	0	0	0
-1185	4540	-537	24984	2872	7079	5975	-176	5966103	0	0	0	0	0
2229	27994	3571	32625	32745	32597	32512	3601	5999818	0	0	0	0	0
-1861	-419	-867	32624	14108	3184	12486	-2995	5999834	0	0	0	0	0
-11224	-27259	-12493	3833	-29885	-32319	-32291	-17310	5999839	0	0	0	0	0
-8683	-4685	-8943	19561	-7568	-7355	-7930	-10473	6002293	0	0	0	0	0
-3829	27045	-2519	32556	32379	32558	32460	-1940	6002300	0	0	0	0	0
-8188	10339	-6990	32557	32426	21191	32646	-8804	6004758	0	0	0	0	0
-10500	-24589	-10110	19064	-21519	-32320	-23694	-12407	6004772	0	0	0	0	0
-7664	-14956	-7701	12830	-20596	-22291	-19574	-8941	6007251	0	0	0	0	0
-141	21599	931	32463	32254	32484	32567	2018	6012238	0	0	0	0	0
2859	20455	4196	32738	32502	32509	32513	3777	6012245	0	0	0	0	0
-5569	-16625	-5592	32455	-7435	-21514	-9639	-8031	6012250	0	0	0	0	0
-7243	-21709	-7284	14647	-25186	-32316	-26154	-7993	6017239	0	0	0	0	0
3540	13724	3798	32554	21102	22443	22150	3150	6017248	0	0	0	0	0
-4873	26222	-3577	32493	32488	32463	32767	-3407	6023513	0	0	0	0	0
-12599	-8043	-11733	32561	10389	-5667	5411	-14695	6023527	0	0	0	0	0
-16841	-27997	-16986	22063	-26671	-32311	-31653	-19586	6057327	0	0	0	0	0
-11410	1721	-10479	32767	6735	5703	4171	-11670	6060547	0	0	0	0	0
-5160	26647	-2884	32499	32604	32580	32767	-2357	6060568	0	0	0	0	0
-6864	822	-5560	32598	22092	8217	18144	-8301	6060573	0	0	0	0	0
-15909	-28271	-15241	32531	-25596	-32304	-29377	-18267	6060585	0	0	0	0	0
-12598	-9337	-11642	32703	-9923	-12313	-10128	-12158	6060589	0	0	0	0	0
1607	24298	3667	32540	32455	32449	32767	4183	6062269	0	0	0	0	0
1865	11746	3771	32487	32767	21641	32561	2278	6062277	0	0	0	0	0
-6505	-24760	-6083	32767	-21544	-32310	-22079	-8811	6064775	0	0	0	0	0
-5599	-18485	-5241	25819	-25276	-27791	-23149	-6215	6069762	0	0	0	0	0
2109	19191	3063	32648	27300	30410	31577	3750	6069773	0	0	0	0	0
3860	21588	5023	32573	32746	32642	32664	4663	6069780	0	0	0	0	0
-6709	-15952	-7141	32609	-7571	-20091	-7481	-10324	6106082	0	0	0	0	0
-15497	-24187	-16373	24433	-29985	-32315	-29034	-18128	6106098	0	0	0	0	0
-10094	10092	-9531	32540	13619	16235	17072	-7673	6111068	0	0	0	0	0
-2979	25999	-1621	32568	32493	32514	32615	-1333	6111079	0	0	0	0	0
-8693	-6666	-8497	32704	6934	-6759	6387	-9893	6111083	0	0	0	0	0
-12249	-28748	-12767	26678	-32316	-32317	-32330	-13910	6113540	0	0	0	0	0
-3162	-1479	-3269	32463	-5124	-2131	-1321	-2569	6113551	0	0	0	0	0
5837	26737	6716	32503	32472	32490	32558	7855	6113555	0	0	0	0	0
2285	3574	2909	32467	17687	8595	19249	2395	6116041	0	0	0	0	0
-1310	-28365	-2438	32677	-32323	-32321	-32219	-5506	6116052	0	0	0	0	0
-5604	-11997	-6367	32401	-21975	-20009	-17955	-6287	6118541	0	0	0	0	0
3370	23068	3825	32555	29585	32767	32397	5689	6118551	0	0	0	0	0
-807	14016	-550	32635	28828	23355	32617	-339	6152361	0	0	0	0	0
-8136	-22720	-9105	32626	-25294	-32323	-23982	-12185	6152378	0	0	0	0	0
-15799	-20071	-17500	23279	-32313	-32345	-29259	-18002	6154792	0	0	0	0	0
-7290	15666	-7850	32461	18618	24450	23294	-6176	6154803	0	0	0	0	0
-4747	21127	-4419	32500	32526	32422	32478	-3309	6154807	0	0	0	0	0
-10845	-14822	-11705	32371	-8772	-19594	-9243	-13456	6154811	0	0	0	0	0
-9243	-26533	-10095	20330	-32309	-32323	-32315	-11007	6157305	0	0	0	0	0
211	6909	-171	32463	3511	9276	6470	356	6157315	0	0	0	0	0
6456	26944	6883	32489	32626	32554	32413	6705	6159784	0	0	0	0	0
4332	-3761	4054	32530	6258	-3015	4506	1556	6164810	0	0	0	0	0
-5013	-27856	-6297	23176	-32318	-32324	-32317	-9625	6164821	0	0	0	0	0
-2270	-3391	-2779	32459	-9876	-5029	-8683	-3187	6164826	6193729	0	0	0	0
7015	27166	7783	32679	32573	32691	32667	7543	6201060	0	0	0	0	0
-657	7559	-1373	32453	23275	16192	20733	-6335	6208062	0	0	0	0	0
-17742	-25644	-17490	32767	-26757	-32312	-30745	-20057	6208073	0	0	0	0	0
-9027	-14315	-9381	28349	-23282	-22330	-23949	-12393	6208077	0	0	0	0	0
-4512	21369	-3531	32741	30064	32583	29958	-4166	6208081	0	0	0	0	0
190	15992	1191	32471	32485	27671	32469	-2061	6208085	0	0	0	0	0
-9685	-21131	-9381	32528	-19017	-29965	-22121	-12852	6209786	0	0	0	0	0
-4807	-22120	-5149	19309	-32338	-32327	-32321	-8652	6209799	0	0	0	0	0
