1196	1639	1719	1915	2633	1701	3119	2871	0	0	0	0
311	931	1061	1173	1943	1545	2935	1719	0	0	0	0
463	891	947	801	1194	660	2061	1171	0	0	0	0
-186	171	158	417	1170	502	1945	1123	0	0	0	0
1612	2098	2060	2232	2775	1796	3209	1188	0	0	0	0
534	1148	1520	2025	2957	715	2114	390	0	0	0	0
237	730	979	979	1684	912	2726	1579	0	0	0	0
1014	1317	1108	945	1627	1824	3811	1466	0	0	0	0
595	849	963	984	1737	1011	2513	947	0	0	0	0
869	1108	1466	1352	2377	1901	3863	993	0	0	0	0
-91	190	387	357	1103	673	2107	-279	0	0	0	0
-306	-27	529	489	1572	478	1748	-1053	0	0	0	0
-325	-66	131	44	645	80	1437	-760	0	0	0	0
1163	1581	1662	1688	2654	2009	3553	949	0	0	0	0
1929	2119	2438	2657	3672	2173	3529	1175	0	0	0	0
-22	520	615	506	1381	379	1974	631	0	0	0	0
77	663	470	119	923	751	2505	166	0	0	0	0
-157	71	-140	-296	419	375	2279	-903	0	0	0	0
-1	244	265	181	774	-137	1505	-2038	0	0	0	0
-323	30	254	69	1077	251	1782	-1165	0	0	0	0
676	784	616	199	923	797	2607	-779	0	0	0	0
311	945	704	459	1158	474	2231	-1385	0	0	0	0
-1140	-675	-550	-457	124	-530	1047	-2345	0	0	0	0
849	1422	1434	1159	1887	1121	2503	-1145	0	0	0	0
-392	-151	-79	-375	-1	-459	1095	-1775	0	0	0	0
-755	-524	-278	-275	430	-177	1466	-1465	0	0	0	0
787	1187	1259	1177	1917	1056	2361	-1193	0	0	0	0
172	839	1059	943	1755	339	1671	-1984	0	0	0	0
-77	357	167	-248	134	-253	1002	-2279	0	0	0	0
57	442	509	480	1207	412	1760	-1211	0	0	0	0
398	799	837	965	1493	669	2153	-1558	0	0	0	0
168	702	705	722	1525	460	1683	-1675	0	0	0	0
-846	-355	-186	47	664	-805	115	-3348	0	0	0	0
71	718	504	119	695	-199	565	-2591	0	0	0	0
-515	9	340	293	964	-47	835	-2105	0	0	0	0
-595	-290	-106	-298	422	-707	371	-2374	0	0	0	0
-647	-136	-73	-443	-37	-665	229	-3028	0	0	0	0
411	883	983	694	1411	239	1155	-2825	0	0	0	0
-69	788	644	630	1472	-29	839	-2715	0	0	0	0
28	759	948	1131	1756	415	1149	-2538	0	0	0	0
754	1450	1574	1415	1946	1429	1999	-1888	0	0	0	0
280	987	1013	704	1322	1013	1672	-1891	0	0	0	0
-111	468	545	97	716	395	1281	-2645	0	0	0	0
677	1243	1242	1039	1646	1324	2207	-2133	0	0	0	0
-260	49	277	197	1101	481	1277	-2526	0	0	0	0
-387	-93	-189	-498	135	-53	653	-3111	0	0	0	0
-725	-467	-245	-362	276	331	1477	-1928	0	0	0	0
-608	-324	-63	-156	529	569	1395	-2475	0	0	0	0
-249	53	311	165	878	435	1403	-2193	0	0	0	0
27	572	551	381	989	653	1575	-2201	0	0	0	0
-457	-91	-345	-713	-374	162	1285	-1962	0	0	0	0
-1297	-1055	-888	-947	-517	-530	605	-2854	0	0	0	0
-1277	-769	-503	-475	320	-239	778	-2409	0	0	0	0
-1169	-615	-551	-517	355	-487	716	-2520	0	0	0	0
-1303	-829	-1093	-1273	-730	-679	728	-2176	0	0	0	0
-853	-320	-377	-458	333	-198	1079	-2735	0	0	0	0
-554	-25	-176	-492	-119	233	1546	-1773	0	0	0	0
-195	105	427	608	1077	1367	2499	-493	0	0	0	0
-1515	-1458	-1503	-1230	-508	-1191	278	-2799	0	0	0	0
-2143	-1735	-1641	-1359	-917	-1057	510	-2288	0	0	0	0
-1138	-507	-521	-544	-3	-406	1261	-1725	0	0	0	0
-928	-551	-599	-589	-123	-231	1617	-1691	0	0	0	0
-441	-53	-151	-207	228	-25	1728	-1525	0	0	0	0
-1527	-998	-1055	-921	-293	-931	677	-1913	0	0	0	0
-1536	-1012	-750	-362	174	-783	685	-1648	0	0	0	0
-643	-124	-278	-723	-447	-497	853	-1875	0	0	0	0
-597	-334	-304	-615	-370	-262	1341	-1190	0	0	0	0
-1559	-1653	-991	-826	-268	-846	571	-2419	0	0	0	0
-1668	-1450	-1166	-1015	-420	-1273	265	-1989	0	0	0	0
-1142	-765	-510	-627	-77	-848	630	-1753	0	0	0	0
-1009	-678	-609	-837	-395	-1047	647	-1686	0	0	0	0
-1742	-1463	-1361	-1405	-825	-1731	-219	-2420	0	0	0	0
-1525	-1201	-1317	-1527	-1052	-1721	-139	-2289	0	0	0	0
-1355	-941	-1043	-1237	-966	-1487	17	-2605	0	0	0	0
-1779	-1295	-985	-1281	-880	-1475	-112	-2380	0	0	0	0
-758	-273	-378	-718	-53	-947	506	-2019	0	0	0	0
-605	-473	-210	-435	247	-451	971	-1517	0	0	0	0
-1524	-1247	-1247	-1517	-752	-1333	9	-2467	0	0	0	0
-1199	-921	-758	-1075	-361	-1307	41	-2731	0	0	0	0
-1265	-919	-741	-953	-138	-1207	154	-2362	0	0	0	0
-987	-670	-571	-743	-381	-1037	340	-2043	0	0	0	0
-1365	-1041	-972	-1051	-543	-1398	-59	-2622	0	0	0	0
-1049	-847	-661	-649	-109	-969	569	-1831	0	0	0	0
