-463	-498	-451	-204	361	-607	935	-457	4563706	0	0	0	0	0
16	158	10	313	982	3	1551	123	4563734	0	0	0	0	0
-70	-76	-24	212	799	-206	1435	35	4566186	0	0	0	0	0
141	333	327	617	1155	197	1743	326	4566198	0	0	0	0	0
198	543	627	762	1349	460	1788	169	4568679	0	0	0	0	0
214	658	647	704	1495	697	1711	225	4568685	0	0	0	0	0
-284	-5	82	199	1105	81	1569	-27	4578720	0	0	0	0	0
-253	155	217	149	1115	161	1873	394	4578741	0	0	0	0	0
-159	229	215	165	1087	142	1684	255	4583835	0	0	0	0	0
-298	-58	-75	-103	623	-153	1409	154	4583849	0	0	0	0	0
-670	-337	-281	-327	585	-364	1269	169	4592498	0	0	0	0	0
-755	-201	-265	-307	346	-351	1255	33	4626229	0	0	0	0	0
-664	-461	-259	-394	201	-505	966	-237	4626247	0	0	0	0	0
-771	-468	-382	-274	173	-619	941	-389	4626255	0	0	0	0	0
-526	-316	-287	-104	456	-501	1255	-196	4628709	0	0	0	0	0
-413	-275	-252	-169	486	-305	1071	-459	4628722	0	0	0	0	0
-777	-625	-580	-485	67	-821	452	-857	4631197	0	0	0	0	0
-744	-643	-569	-469	177	-852	417	-961	4631210	0	0	0	0	0
-937	-766	-656	-603	5	-945	549	-848	4633696	0	0	0	0	0
-1163	-667	-527	-802	-123	-761	512	-774	4638689	0	0	0	0	0
-1378	-1059	-603	-1031	-246	-988	572	-711	4638702	0	0	0	0	0
-1174	-679	-512	-795	-129	-731	537	-694	4638708	0	0	0	0	0
-1308	-1021	-761	-1013	-335	-945	500	-731	4643694	0	0	0	0	0
-1398	-1068	-626	-937	-123	-720	671	-617	4646185	0	0	0	0	0
-1145	-984	-555	-764	-23	-605	685	-569	4646193	0	0	0	0	0
-969	-1033	-623	-409	-73	-657	874	-338	4646197	0	0	0	0	0
-803	-726	-313	-184	229	-447	1112	-414	4681189	0	0	0	0	0
-607	-535	-150	-295	190	-468	827	-587	4696339	0	0	0	0	0
