12751	-7852	20179	57	0
27405	-1211	10511	1357	0
25172	854	5733	1331	0
22913	1983	5278	1707	0
20037	1079	6674	453	0
20821	695	11745	2432	0
24999	-8403	32664	-41	0
23750	-3537	32485	-885	0
23295	-1085	23823	904	0
24803	-3797	25312	941	0
27812	-8801	28607	-168	0
29068	-10343	32431	-355	0
27882	-11960	32570	-379	0
28638	-12439	32496	-193	0
27568	-14555	32767	-434	0
30689	-19140	32435	-945	0
32516	-19936	32501	-1441	0
32484	-17434	32533	-2268	0
32447	-12966	32655	-363	0
32408	-9473	32421	-647	0
32554	-10295	32336	122	0
31101	-10618	32767	-75	0
30588	-11674	32411	335	0
24586	-15791	32582	231	0
18183	-15773	22085	89	0
19274	-14067	15061	1059	0
17427	-17674	27146	1933	0
21416	-17232	32591	749	0
21961	-15940	32400	-63	0
20958	-11777	32387	-851	0
20155	-5823	27285	307	0
15856	-2687	18813	417	0
9279	-2619	10617	932	0
7491	-5131	7555	893	0
11930	1229	-391	762	0
10893	12433	-1457	2171	0
12036	13319	12589	599	0
17730	6822	27722	-119	0
22388	-753	32510	-28	0
22748	-5805	32580	-283	0
17814	-5910	32457	251	0
15643	-1879	18097	1424	0
13611	-3567	6839	1077	0
13505	2170	5454	1320	0
12726	6411	6059	848	0
5102	5060	-1729	2171	0
1563	3915	197	2279	0
8416	-1604	8131	-375	0
17126	-5141	19611	-607	0
14981	-8549	25299	88	0
18017	-7208	30687	22	0
15799	-1087	17431	-140	0
8858	2261	6708	967	0
4807	2333	-1145	1008	0
6359	3827	-7111	927	0
2947	5595	-8214	599	0
-5714	2453	-12793	1179	0
-12300	103	-4620	2454	0
-12441	-5073	12449	397	0
-14249	-5499	27521	-521	0
-6621	-6563	29453	358	0
2028	-4354	26188	-443	0
-3273	-767	11509	1089	0
-7597	1339	-2765	1058	0
-7107	1793	-8504	1383	0
-6923	5839	-8273	1045	0
-7913	7600	-13935	942	0
-10274	5446	-19043	1722	0
-4589	1252	359	2242	0
2897	586	13064	705	0
5675	-6305	25851	103	0
9744	-10207	27003	-111	0
7717	-5079	15215	295	0
1014	-2283	3542	1171	0
1840	-2044	-3749	1039	0
-1816	2302	-9212	1817	0
-1975	5851	-11833	1316	0
-2989	6937	-14578	2410	0
-3431	8443	-12745	2435	0
51	5410	7961	421	0
6154	-98	19457	-541	0
10650	-751	27511	-23	0
12886	200	31525	-301	0
8104	198	15741	255	0
3555	841	11643	882	0
4611	1875	1821	1376	0
4105	10196	-5325	1255	0
-5073	12866	-10801	903	0
-9217	16382	-14318	1893	0
-6579	9969	-7006	2248	0
-3615	3399	10268	1707	0
1497	-3547	20218	-784	0
-1893	-4384	20020	637	0
2388	-6783	21608	-718	0
-2037	-1150	9766	836	0
-1797	-1393	131	1756	0
-3890	1144	-9894	1656	0
-6223	6925	-14905	1341	0
-10975	5009	-19089	1959	0
-16041	7125	-20173	2281	0
-13668	1381	-5791	1233	0
-4509	-6259	10969	-36	0
-305	-9490	20365	-367	0
3388	-10829	22165	356	0
1875	-8514	9114	311	0
-1199	-2820	-2146	1581	0
-4731	2313	-7241	978	0
-7407	3117	-9765	1384	0
-8821	4200	-17989	1535	0
-12211	9703	-20292	1525	0
-17165	7271	-17381	3028	0
-11171	2487	1009	415	0
-4303	-1464	17687	299	0
-957	-4800	24618	647	0
4359	-7945	27358	-868	0
7841	-3836	13107	506	0
1649	336	-1509	1893	0
1909	3415	-10868	1223	0
-1092	6823	-15139	1210	0
-6177	11309	-19165	1178	0
-6345	9545	-23157	2580	0
-3923	6077	-27335	1802	0
-1023	615	-20055	888	0
6909	-5427	-57	-191	0
12782	-6055	11066	165	0
12215	-4121	17895	-481	0
5751	-4149	14771	1979	0
877	-3107	20835	-218	0
-2268	4071	11886	1160	0
-1939	3372	8363	911	0
-343	-1668	5385	19	0
-18	-6602	2539	1459	0
-900	-4891	-1559	780	0
-538	-2866	-442	545	0
-970	-7387	7422	1099	0
3548	-12069	21384	135	0
4777	-10349	25767	999	0
2471	-10786	27969	407	0
-25	-6186	16346	529	0
291	-6352	8897	1336	0
1051	-9555	3022	496	0
-6744	-9729	-5051	390	0
-7556	-7194	-12979	1602	0
-10511	-438	-14166	2275	0
-20029	2243	-17083	3035	0
-11589	-3186	6960	677	0
-4457	-5748	16561	501	0
-1464	-2936	18291	1161	0
3693	-428	11746	-453	0
1085	6689	-3088	1819	0
-617	6247	-7249	2290	0
4017	11482	-16057	1584	0
-3432	15723	-29493	2333	0
-5812	12487	-28568	1914	0
-10915	11861	-29727	1521	0
-11348	12195	-10833	2233	0
-7307	8410	1860	626	0
-5190	2998	10892	274	0
-6079	-1354	9151	-397	0
-6536	-2021	-2381	1291	0
-11773	-1263	-10791	1747	0
-16617	-1712	-18563	1913	0
-18241	225	-29557	1344	0
-17803	4293	-26691	2203	0
-16069	2023	-25804	1933	0
-13033	1641	-14569	2678	0
-7414	-3754	1496	1258	0
-5009	-7047	16855	247	0
-7478	-5300	12941	3	0
-7408	-3750	-449	919	0
-7520	-2683	-9747	1039	0
-10488	1613	-17347	1503	0
-18564	2504	-21241	2155	0
-25108	4808	-31977	1610	0
-25207	2489	-28196	3356	0
-18003	-652	-5451	1221	0
