-6.5983e-11,0
-6.5215e-11,0.0039063
-6.4379e-11,0.0078125
-6.3475e-11,0.011719
-6.2499e-11,0.015625
-6.1451e-11,0.019531
-6.0328e-11,0.023438
-5.9128e-11,0.027344
-5.785e-11,0.03125
-5.6491e-11,0.035156
-5.505e-11,0.039063
-5.3524e-11,0.042969
-5.1911e-11,0.046875
-5.0209e-11,0.050781
-4.8417e-11,0.054688
-4.6532e-11,0.058594
-4.4551e-11,0.0625
-4.2473e-11,0.066406
-4.0296e-11,0.070313
-3.8017e-11,0.074219
-3.5635e-11,0.078125
-3.3146e-11,0.082031
-3.0549e-11,0.085938
-2.7842e-11,0.089844
-2.5022e-11,0.09375
-2.2087e-11,0.097656
-1.9035e-11,0.10156
-1.5863e-11,0.10547
-1.257e-11,0.10938
-9.1525e-12,0.11328
-5.6089e-12,0.11719
-1.9366e-12,0.12109
1.8665e-12,0.125
5.8028e-12,0.12891
9.8746e-12,0.13281
1.4084e-11,0.13672
1.8434e-11,0.14063
2.2926e-11,0.14453
2.7562e-11,0.14844
3.2346e-11,0.15234
3.7278e-11,0.15625
4.2362e-11,0.16016
4.7599e-11,0.16406
5.2993e-11,0.16797
5.8544e-11,0.17188
6.4255e-11,0.17578
7.0129e-11,0.17969
7.6167e-11,0.18359
8.2372e-11,0.1875
8.8746e-11,0.19141
9.529e-11,0.19531
1.0201e-10,0.19922
1.089e-10,0.20313
1.1597e-10,0.20703
1.2321e-10,0.21094
1.3064e-10,0.21484
1.3825e-10,0.21875
1.4604e-10,0.22266
1.5402e-10,0.22656
1.6219e-10,0.23047
1.7055e-10,0.23438
1.7909e-10,0.23828
1.8783e-10,0.24219
1.9676e-10,0.24609
2.0589e-10,0.25
2.1521e-10,0.25391
2.2473e-10,0.25781
2.3445e-10,0.26172
2.4437e-10,0.26563
2.5449e-10,0.26953
2.6481e-10,0.27344
2.7533e-10,0.27734
2.8605e-10,0.28125
2.9698e-10,0.28516
3.0812e-10,0.28906
3.1945e-10,0.29297
3.3099e-10,0.29688
3.4274e-10,0.30078
3.5469e-10,0.30469
3.6685e-10,0.30859
3.7921e-10,0.3125
3.9177e-10,0.31641
4.0454e-10,0.32031
4.1751e-10,0.32422
4.3068e-10,0.32813
4.4406e-10,0.33203
4.5763e-10,0.33594
4.714e-10,0.33984
4.8537e-10,0.34375
4.9954e-10,0.34766
5.139e-10,0.35156
5.2845e-10,0.35547
5.432e-10,0.35938
5.5813e-10,0.36328
5.7324e-10,0.36719
5.8854e-10,0.37109
6.0402e-10,0.375
6.1968e-10,0.37891
6.355e-10,0.38281
6.515e-10,0.38672
6.6766e-10,0.39063
6.8399e-10,0.39453
7.0047e-10,0.39844
7.171e-10,0.40234
7.3388e-10,0.40625
7.5081e-10,0.41016
7.6787e-10,0.41406
7.8507e-10,0.41797
8.0239e-10,0.42188
8.1983e-10,0.42578
8.3738e-10,0.42969
8.5504e-10,0.43359
8.728e-10,0.4375
8.9065e-10,0.44141
9.0859e-10,0.44531
9.266e-10,0.44922
9.4468e-10,0.45313
9.6283e-10,0.45703
9.8102e-10,0.46094
9.9925e-10,0.46484
1.0175e-09,0.46875
1.0358e-09,0.47266
1.0541e-09,0.47656
1.0724e-09,0.48047
1.0907e-09,0.48438
1.1089e-09,0.48828
1.1272e-09,0.49219
1.1453e-09,0.49609
1.1635e-09,0.5
1.1815e-09,0.50391
1.1995e-09,0.50781
1.2173e-09,0.51172
1.2351e-09,0.51563
1.2527e-09,0.51953
1.2702e-09,0.52344
1.2875e-09,0.52734
1.3046e-09,0.53125
1.3215e-09,0.53516
1.3383e-09,0.53906
1.3547e-09,0.54297
1.371e-09,0.54688
1.387e-09,0.55078
1.4027e-09,0.55469
1.418e-09,0.55859
1.4331e-09,0.5625
1.4478e-09,0.56641
1.4622e-09,0.57031
1.4761e-09,0.57422
1.4897e-09,0.57813
1.5028e-09,0.58203
1.5154e-09,0.58594
1.5276e-09,0.58984
1.5393e-09,0.59375
1.5504e-09,0.59766
1.561e-09,0.60156
1.571e-09,0.60547
1.5803e-09,0.60938
1.5891e-09,0.61328
1.5972e-09,0.61719
1.6045e-09,0.62109
1.6112e-09,0.625
1.6171e-09,0.62891
1.6222e-09,0.63281
1.6265e-09,0.63672
1.63e-09,0.64063
1.6326e-09,0.64453
1.6343e-09,0.64844
1.635e-09,0.65234
1.6348e-09,0.65625
1.6335e-09,0.66016
1.6312e-09,0.66406
1.6279e-09,0.66797
1.6234e-09,0.67188
1.6177e-09,0.67578
1.6109e-09,0.67969
1.6028e-09,0.68359
1.5935e-09,0.6875
1.5829e-09,0.69141
1.5709e-09,0.69531
1.5575e-09,0.69922
1.5427e-09,0.70313
1.5264e-09,0.70703
1.5087e-09,0.71094
1.4893e-09,0.71484
1.4684e-09,0.71875
1.4458e-09,0.72266
1.4216e-09,0.72656
1.3956e-09,0.73047
1.3679e-09,0.73438
1.3383e-09,0.73828
1.3069e-09,0.74219
1.2735e-09,0.74609
1.2382e-09,0.75
1.2009e-09,0.75391
1.1616e-09,0.75781
1.1201e-09,0.76172
1.0765e-09,0.76563
1.0307e-09,0.76953
9.8261e-10,0.77344
9.3224e-10,0.77734
8.7953e-10,0.78125
8.2441e-10,0.78516
7.6685e-10,0.78906
7.0677e-10,0.79297
6.4415e-10,0.79688
5.7892e-10,0.80078
5.1102e-10,0.80469
4.4042e-10,0.80859
3.6706e-10,0.8125
2.9087e-10,0.81641
2.1182e-10,0.82031
1.2985e-10,0.82422
4.4901e-11,0.82813
-4.3075e-11,0.83203
