1811	2273	2400	2423	3212	2347	4692	4231	0	0	0	0
1677	2217	2657	2217	3286	2423	4571	3911	0	0	0	0
2334	2673	2899	2691	3595	2635	4410	3670	0	0	0	0
2124	2391	2398	2331	3210	2309	4165	3284	0	0	0	0
2005	2269	2284	2407	3222	2010	4059	3162	0	0	0	0
2215	2546	2450	2539	3309	2016	3689	2769	0	0	0	0
2365	2561	2418	2498	3266	2103	3507	2471	0	0	0	0
2465	2874	2861	2787	3551	2475	3444	2444	0	0	0	0
1417	1942	2353	1965	3054	2128	3134	2225	0	0	0	0
1124	1592	1845	1905	2797	2060	3447	2497	0	0	0	0
1187	1575	1797	1669	2539	1715	3435	2413	0	0	0	0
606	957	1109	1239	2188	1111	3002	1909	0	0	0	0
319	669	1021	963	2051	1129	2911	1564	0	0	0	0
725	1447	1715	1462	2688	1709	3371	2053	0	0	0	0
686	1312	1890	1442	2594	1466	3255	1983	0	0	0	0
1175	1978	2220	1774	3002	1805	3313	2051	0	0	0	0
1392	2008	2186	1869	3128	1801	3304	2006	0	0	0	0
1712	2187	2215	2066	3094	1809	3123	1908	0	0	0	0
1618	2007	1962	1703	2609	1477	2874	1695	0	0	0	0
1669	1827	1633	1748	2407	1293	2764	1671	0	0	0	0
1371	1267	877	1195	1821	366	2281	1151	0	0	0	0
724	688	248	1081	1275	119	2199	1173	0	0	0	0
359	678	234	725	1319	120	2315	1408	0	0	0	0
475	353	-19	578	1031	-146	2176	983	0	0	0	0
224	496	285	675	1095	130	2022	917	0	0	0	0
397	820	601	817	1524	418	2281	796	0	0	0	0
1111	1446	1349	1436	2009	924	2515	1051	0	0	0	0
816	1187	1147	1237	1690	634	2247	688	0	0	0	0
575	931	1242	835	1606	637	2029	646	0	0	0	0
615	787	1232	960	1687	717	2288	1023	0	0	0	0
720	921	1309	1009	1741	887	2681	1249	0	0	0	0
940	1324	1397	1482	2075	1235	2930	1480	0	0	0	0
839	1155	1023	1351	2295	934	3033	1566	0	0	0	0
141	563	359	867	1700	597	2842	1505	0	0	0	0
108	511	524	977	1955	935	2776	1542	0	0	0	0
324	893	902	1258	1987	1195	2681	1591	0	0	0	0
1040	1662	1667	1497	2429	1377	2631	1249	0	0	0	0
1067	1842	1757	1235	2061	1233	1945	531	0	0	0	0
1134	1629	1841	1029	1902	1064	1601	273	0	0	0	0
951	1607	1947	965	1779	1273	1471	278	0	0	0	0
1129	1745	2021	1062	1837	1245	1491	-1	0	0	0	0
1025	1464	1705	902	1565	759	1362	-243	0	0	0	0
809	1191	1509	781	1493	752	1349	-265	0	0	0	0
367	911	899	613	1369	456	1531	281	0	0	0	0
158	522	485	423	1301	311	1626	120	0	0	0	0
235	620	414	657	1437	221	2085	474	0	0	0	0
433	656	357	855	1730	403	2498	922	0	0	0	0
636	1026	706	1158	2075	881	3100	1482	0	0	0	0
233	813	560	737	1628	808	2953	1321	0	0	0	0
-341	198	224	262	1150	267	2597	895	0	0	0	0
-27	415	543	635	1325	558	2516	982	0	0	0	0
73	569	728	503	1351	577	2329	1001	0	0	0	0
17	495	673	624	1367	499	2181	757	0	0	0	0
-517	-186	164	41	668	-27	1813	175	0	0	0	0
-487	-179	174	13	657	28	1851	154	0	0	0	0
-448	30	200	7	611	-47	1867	263	0	0	0	0
-699	-329	29	-109	517	-124	1640	109	0	0	0	0
-495	-207	83	68	687	-180	1568	-31	0	0	0	0
-282	24	158	65	809	-261	1563	-27	0	0	0	0
-75	272	224	309	1195	182	1705	-129	0	0	0	0
-145	273	219	60	961	99	1402	-200	0	0	0	0
-459	247	294	-101	696	-131	1300	-313	0	0	0	0
-503	173	145	-52	511	-157	1377	-232	0	0	0	0
-313	441	131	43	539	-119	1375	-351	0	0	0	0
-402	161	37	-24	340	-186	1261	-327	0	0	0	0
-496	-63	-155	-217	130	-479	1025	-425	0	0	0	0
-867	-518	-493	-586	-293	-837	634	-759	0	0	0	0
